NF;Série;CD;CIA;Emissão;Cód. do cliente;Cliente;Código do vendedor;Vendedor;Trecho atual;Transportadora;Valor do frete;Peso;Valor da NF;Volume;Embarque;Romaneio;Data de entrega;Data de baixa;Telefone;Previsão de entrega;Limite de entrega;Status
1434363;4;CD01;CD01;10/05/2024 00:00;1029349;GLOBAL ARTIGOS PARA FESTAS LTDA ;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;276,768;3.155,88;22;10/05/2024 15:02;428189;15/05/2024 16:26;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434362;4;CD01;CD01;10/05/2024 00:00;1029315;J L DAOLIO E CIA LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;500,845;7.612,42;79;10/05/2024 15:02;428189;15/05/2024 17:00;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434361;4;CD01;CD01;10/05/2024 00:00;1029269;J. V. ORRU DE SOUZA ;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;78,825;1.588,44;19;10/05/2024 15:02;428189;15/05/2024 16:21;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434360;4;CD01;CD01;10/05/2024 00:00;1027803;SUPERMERCADOS CAETANO LTDA ;702;Emilio - R. E. Pagli;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;122,703;2.419,48;23;10/05/2024 15:02;428189;15/05/2024 16:32;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;16/05/2024 23:30;Entregue sem ocorrência
1434359;4;CD01;CD01;10/05/2024 00:00;1027679;SUPERMERCADO DA PRACA ARACOIABA LTD ;738;SR DE MATOS REPRES.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;81,529;1.398,09;19;10/05/2024 15:02;428189;16/05/2024 10:54;17/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434358;4;CD01;CD01;10/05/2024 00:00;1027413;SUPERMERCADO DA PRACA DE BRAGANCA LTDA;738;SR DE MATOS REPRES.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;46,421;834,1;12;10/05/2024 15:02;428189;15/05/2024 16:53;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;16/05/2024 23:30;Entregue sem ocorrência
1434357;4;CD01;CD01;10/05/2024 00:00;1027401;SAVEGNAGO SUPERMERCADOS LTDA ;693;RICARDO/RIB.PRETO;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;390,175;6.309,87;62;10/05/2024 15:02;428189;15/05/2024 16:17;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434356;4;CD01;CD01;10/05/2024 00:00;1025342;CARMO MARTINS SORVETERIA EIRELI ;212;Luis Alfredo-LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;179,715;2.643,37;19;10/05/2024 15:02;428189;15/05/2024 16:05;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434355;4;CD01;CD01;10/05/2024 00:00;1024893;SERRANO AUTO SERVICO LTDA ;658;Gustavo-Guga Bem;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;115,113;1.901,97;38;10/05/2024 15:02;428189;15/05/2024 16:40;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434354;4;CD01;CD01;10/05/2024 00:00;1019748;DIVALDO A ANTONELLI E CIA LTDA ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;108,781;1.758,10;20;10/05/2024 15:02;428189;15/05/2024 17:06;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434353;4;CD01;CD01;10/05/2024 00:00;1016719;B A BARBOSA SUPERMERCADO LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;146,651;2.763,18;21;10/05/2024 15:02;428189;15/05/2024 16:23;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434349;4;CD01;CD01;10/05/2024 00:00;1010412;DICID ITU DOCES LTDA  EPP ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;353,805;5.959,04;35;10/05/2024 15:02;428189;15/05/2024 16:08;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434348;4;CD01;CD01;10/05/2024 00:00;1010362;MARCIO LEANDRO COSTA ME ;215;Silvio - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;167,545;2.672,29;15;10/05/2024 15:02;428189;15/05/2024 16:29;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;16/05/2024 23:30;Entregue sem ocorrência
1434347;4;CD01;CD01;10/05/2024 00:00;1009542;FLAMAR EMBALAGENS LTDA - EPP ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;17,794;344,42;2;10/05/2024 15:02;428189;15/05/2024 16:07;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434346;4;CD01;CD01;10/05/2024 00:00;1009411;ANTONELLI SUPERMERCADO LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;129,411;2.390,81;24;10/05/2024 15:02;428189;15/05/2024 16:24;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434345;4;CD01;CD01;10/05/2024 00:00;1008183;MANDURI FESTAS LTDA - ME ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;161,611;2.495,27;18;10/05/2024 15:02;428189;15/05/2024 16:14;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;16/05/2024 23:30;Entregue sem ocorrência
1434343;4;CD01;CD01;10/05/2024 00:00;1007408;DIVALDO A ANTONELLI E CIA LTDA ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;127,552;2.219,83;24;10/05/2024 15:02;428189;16/05/2024 10:57;17/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434342;4;CD01;CD01;10/05/2024 00:00;1006254;COMERCIAL SAVIOLI DE ALIMENTOS LTDA  EPP;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;123,509;1.790,71;18;10/05/2024 15:02;428189;15/05/2024 17:05;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434341;4;CD01;CD01;10/05/2024 00:00;1006193;ANTTONELLI SM. LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;126,34;2.442,86;24;10/05/2024 15:02;428189;15/05/2024 16:39;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434340;4;CD01;CD01;10/05/2024 00:00;1006135;COSER COM. E DISTRIB. PROD. ALIM. ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;81,001;1.584,25;13;10/05/2024 15:02;428189;15/05/2024 16:42;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;17/05/2024 00:30;Entregue sem ocorrência
1434339;4;CD01;CD01;10/05/2024 00:00;1005816;LINDAMAR F. S. FURTADO ME ;215;Silvio - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;96,627;1.648,54;23;10/05/2024 15:02;428189;15/05/2024 16:27;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434338;4;CD01;CD01;10/05/2024 00:00;1003723;J.L. DAOLIO E CIA LTDA SM. DAOLIO;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;596,711;9.678,88;100;10/05/2024 15:02;428189;15/05/2024 17:01;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434337;4;CD01;CD01;10/05/2024 00:00;1003489;SM. CIAMDRIGHI LTDA SM. CIAMDRIGHI;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;68,818;1.458,66;14;10/05/2024 15:02;428189;15/05/2024 16:20;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434336;4;CD01;CD01;10/05/2024 00:00;1002945;ALEX TAVARES DOCES ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;2.366,17;38.470,94;255;10/05/2024 15:02;428189;15/05/2024 16:33;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;16/05/2024 23:30;Entregue sem ocorrência
1434335;4;CD01;CD01;10/05/2024 00:00;1002168;SM. MARCON LTDA SM. MARCON;706;Bertolino M. F. Camp;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;117,813;1.867,63;20;10/05/2024 15:02;428189;15/05/2024 16:31;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434334;4;CD01;CD01;10/05/2024 00:00;1001081;SM. PONTO NOVO LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;108,832;2.130,08;17;10/05/2024 15:02;428189;15/05/2024 16:36;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434333;4;CD01;CD01;10/05/2024 00:00;1001011;SM. PONTO NOVO GUACU LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;180,289;3.704,94;32;10/05/2024 15:02;428189;15/05/2024 16:35;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue com ocorrência
1434332;4;CD01;CD01;10/05/2024 00:00;1000496;B.A. BARBOSA SM. LTDA SM. GUARANI;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;196,444;3.176,41;24;10/05/2024 15:02;428189;15/05/2024 17:02;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434331;4;CD01;CD01;10/05/2024 00:00;1000431;SUPERMERCADO TESCAROLLO LTDA ;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;102,089;1.981,96;23;10/05/2024 15:02;428189;15/05/2024 16:50;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;16/05/2024 23:30;Entregue sem ocorrência
1434330;4;CD01;CD01;10/05/2024 00:00;1000398;SUPERMERCADO TULON LTDA ;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;185,671;3.752,21;38;10/05/2024 15:02;428189;15/05/2024 16:51;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;16/05/2024 23:30;Entregue sem ocorrência
1434329;4;CD01;CD01;10/05/2024 00:00;1000320;DIVALDO APARECIDO ANTONELLI E CIA L ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;203,865;3.469,36;39;10/05/2024 15:02;428189;15/05/2024 16:57;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434328;4;CD01;CD01;10/05/2024 00:00;1025970;NORTESUL  DE PRODUTOS  ALIMENTICIOS E PERFUMARIA LTDA - ME;649;SULGERAIS/MG;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;147,5;7.617,20;30;10/05/2024 15:02;428189;16/05/2024 10:48;17/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434327;4;CD01;CD01;10/05/2024 00:00;1011138;CORREA E ATADAINE ALIMENTOS LTDA ;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;4,435;77,06;1;10/05/2024 15:02;428189;15/05/2024 16:41;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;17/05/2024 00:30;Entregue sem ocorrência
1434326;4;CD01;CD01;10/05/2024 00:00;1000431;SUPERMERCADO TESCAROLLO LTDA ;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;4,435;80,48;1;10/05/2024 15:02;428189;15/05/2024 16:48;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;16/05/2024 23:30;Entregue sem ocorrência
1433899;4;CD01;CD01;07/05/2024 00:00;1039066;CHEN ARMARINHOS EIRELI;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;14,243;323,77;3;07/05/2024 17:54;427669;13/05/2024 11:07;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;13/05/2024 23:30;14/05/2024 00:30;Entregue sem ocorrência
1433898;4;CD01;CD01;07/05/2024 00:00;1038070;J E RUOCCO LTDA;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;33,913;455,77;5;07/05/2024 17:54;427669;13/05/2024 10:36;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433897;4;CD01;CD01;07/05/2024 00:00;1038058;SILPLAST ARTIGOS PARA FESTAS LTDA;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;187,988;2.270,97;18;07/05/2024 17:54;427669;14/05/2024 16:43;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;13/05/2024 23:30;13/05/2024 23:30;Entregue com ocorrência
1433896;4;CD01;CD01;07/05/2024 00:00;1034320;SUPERMERCADO E RESTAURANTE JVA EIRE ;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;82,095;1.540,93;18;07/05/2024 17:54;427669;15/05/2024 17:03;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;13/05/2024 23:30;15/05/2024 23:59;Entregue sem ocorrência
1433895;4;CD01;CD01;07/05/2024 00:00;1034023;FULIARO SUPERMERCADOS LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;63,273;1.390,84;11;07/05/2024 17:54;427669;13/05/2024 10:35;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433894;4;CD01;CD01;07/05/2024 00:00;1033987;PUSH PUSH - COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;215;Silvio - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;107,093;1.276,43;10;07/05/2024 17:54;427669;13/05/2024 16:32;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433893;4;CD01;CD01;07/05/2024 00:00;1031299;TAUSTE SUPERMERCADOS LTDA ;700;Kiko - A. L. S. Repr;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;1.603,62;34.954,00;361;07/05/2024 17:54;427669;13/05/2024 10:48;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433892;4;CD01;CD01;07/05/2024 00:00;1027911;IDEAL HORTOLANDIA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;227,18;3.371,92;27;07/05/2024 17:54;427669;13/05/2024 08:56;13/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433891;4;CD01;CD01;07/05/2024 00:00;1021833;PIRUETA COMERCIAL LTDA ;205;Dorival - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;212,046;2.611,02;23;07/05/2024 17:54;427669;13/05/2024 10:15;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;13/05/2024 23:30;15/05/2024 23:59;Entregue sem ocorrência
1433890;4;CD01;CD01;07/05/2024 00:00;1020624;ART LIMP BRASIL DESCARTAVEIS LTDA ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;44,976;784,93;5;07/05/2024 17:54;427669;13/05/2024 10:30;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433888;4;CD01;CD01;07/05/2024 00:00;1009529;JONATAS DIEGO CAETANO ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;176,744;2.644,30;23;07/05/2024 17:54;427669;14/05/2024 16:44;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;13/05/2024 23:30;13/05/2024 23:30;Entregue sem ocorrência
1433887;4;CD01;CD01;07/05/2024 00:00;1008972;MONTE BELLO E NASTARO LTDA ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;53,947;1.312,20;18;07/05/2024 17:54;427669;13/05/2024 16:46;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433886;4;CD01;CD01;07/05/2024 00:00;1008714;EMBALEME IND. E COM. EMBAL. ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;163,321;1.977,52;16;07/05/2024 17:54;427669;13/05/2024 11:13;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433885;4;CD01;CD01;07/05/2024 00:00;1007012;SAUDE COMERCIO DE BEBIDAS LTDA EPP ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;142,448;1.478,66;13;07/05/2024 17:54;427669;15/05/2024 16:16;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;13/05/2024 23:30;13/05/2024 23:30;Entregue com ocorrência
1433884;4;CD01;CD01;07/05/2024 00:00;1006070;CONFIANCA LOJA DE CONVENIENCIA LTDA ME;212;Luis Alfredo-LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;123,136;1.756,91;13;07/05/2024 17:54;427669;12/05/2024 10:12;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;13/05/2024 23:30;13/05/2024 23:30;Entregue sem ocorrência
1433883;4;CD01;CD01;07/05/2024 00:00;1004592;DPAE DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS E DE EPOCA LTDA ME;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;749,006;9.116,04;69;07/05/2024 17:54;427669;13/05/2024 16:29;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433882;4;CD01;CD01;07/05/2024 00:00;1001544;DICID VOTORANTIM DOCES LTDA - ME ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;320,393;3.895,73;31;07/05/2024 17:54;427669;13/05/2024 11:05;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;13/05/2024 23:30;14/05/2024 00:30;Entregue sem ocorrência
1433881;4;CD01;CD01;07/05/2024 00:00;1000906;ROLIM DE FREITAS E CIA LTDA ;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;619,933;10.569,99;91;07/05/2024 17:54;427669;15/05/2024 16:54;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433880;4;CD01;CD01;07/05/2024 00:00;1000288;TABO COM. DE ALIM. LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;176,891;3.202,31;32;07/05/2024 17:54;427669;14/05/2024 16:24;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433879;4;CD01;CD01;07/05/2024 00:00;1000177;GTS-DISTRIB DE PROD ALIMENTICIOS LT ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;1.029,83;9.219,84;100;07/05/2024 17:54;427669;13/05/2024 10:18;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;13/05/2024 23:30;13/05/2024 23:30;Entregue sem ocorrência
